1,2432002,2502164,2118862,926219
2,4067293,4243368,4390019,1626145
4,3844186,7340665,9026668,3273150
8,10243939,9170965,11716415,4813897
16,9334645,9720820,10431838,5168180
32,9248502,6325869,6065136,3654180
40,6466483,6426555,5738626,3735946
64,5767941,7800585,2991630,4383884
80,5679014,8769749,1714102,3616885
